Date,Less than 5 weeks,5-14 weeks,15-26 weeks,27 weeks and over
15-Jan,2393000,2319000,1377000,2774000
15-Feb,2392000,2238000,1333000,2658000
15-Mar,2444000,2304000,1245000,2542000
15-Apr,2716000,2345000,1091000,2560000
15-May,2471000,2510000,1256000,2503000
15-Jun,2309000,2396000,1398000,2162000
15-Jul,2574000,2222000,1261000,2127000
15-Aug,2073000,2329000,1283000,2172000
15-Sep,2364000,2274000,1234000,2097000
15-Oct,2372000,2277000,1212000,2130000
15-Nov,2382000,2296000,1273000,2074000
15-Dec,2399000,2191000,1232000,2127000
16-Jan,2166000,2290000,1136000,2081000
16-Feb,2235000,2187000,1163000,2150000
16-Mar,2419000,2168000,1148000,2231000
16-Apr,2594000,2132000,1209000,2147000
16-May,2264000,2264000,1096000,1925000
16-Jun,2396000,2195000,1117000,1986000
16-Jul,2203000,2282000,1222000,1943000
16-Aug,2285000,2352000,1094000,1970000
16-Sep,2600000,2288000,1184000,1933000
16-Oct,2434000,2273000,1190000,1946000
16-Nov,2404000,2163000,1108000,1865000
16-Dec,2354000,2117000,1241000,1860000
17-Jan,2424000,2034000,1197000,1866000
17-Feb,2511000,2129000,1032000,1803000
17-Mar,2327000,2071000,1024000,1677000
17-Apr,2324000,2070000,979000,1709000
17-May,2116000,1970000,1075000,1721000
17-Jun,2321000,1924000,916000,1654000
17-Jul,2075000,2026000,1018000,1720000
17-Aug,2258000,2065000,1107000,1687000
17-Sep,2245000,1905000,1024000,1683000
17-Oct,2126000,1961000,925000,1609000
17-Nov,2278000,1886000,987000,1589000
17-Dec,2237000,1966000,932000,1516000
18-Jan,2214000,1895000,952000,1467000
18-Feb,2469000,1893000,873000,1432000
18-Mar,2303000,2002000,795000,1345000
18-Apr,2142000,1994000,888000,1375000
18-May,1997000,1942000,935000,1233000
18-Jun,2269000,1865000,881000,1404000
18-Jul,1968000,1804000,1006000,1416000
18-Aug,2241000,1730000,995000,1287000
18-Sep,2074000,1731000,936000,1351000
18-Oct,2055000,1840000,920000,1348000
18-Nov,2168000,1807000,904000,1228000
18-Dec,2149000,2033000,934000,1306000
19-Jan,2303000,1981000,879000,1289000
19-Feb,2246000,1795000,878000,1298000
19-Mar,2174000,1831000,844000,1319000
19-Apr,1942000,1881000,718000,1293000
19-May,2131000,1564000,754000,1336000
19-Jun,1903000,1835000,812000,1359000
19-Jul,2102000,1779000,960000,1170000
19-Aug,2276000,1700000,901000,1210000
19-Sep,1853000,1759000,888000,1299000
19-Oct,1946000,1751000,955000,1246000
19-Nov,2063000,1742000,910000,1178000
19-Dec,2102000,1777000,830000,1183000
20-Jan,2016000,1758000,863000,1195000
20-Feb,2099000,1811000,778000,1114000
20-Mar,3422000,1824000,728000,1182000
20-Apr,14232000,7066000,680000,997000
20-May,3886000,14806000,1009000,1199000
20-Jun,2915000,11522000,1942000,1339000
20-Jul,3142000,5145000,6512000,1509000
20-Aug,2348000,3105000,6580000,1570000
20-Sep,2549000,2735000,4958000,2413000
20-Oct,2490000,2342000,2671000,3548000
20-Nov,2483000,2440000,1904000,3903000
20-Dec,2915000,2344000,1578000,3963000
21-Jan,2250000,2484000,1321000,4055000
21-Feb,2211000,2254000,1370000,4146000
21-Mar,2178000,1950000,1336000,4216000
21-Apr,2377000,2011000,1137000,4170000
21-May,2018000,2199000,1243000,3761000
21-Jun,2005000,2240000,1353000,3970000
21-Jul,2246000,1763000,1200000,3446000
21-Aug,2116000,1885000,1245000,3124000
21-Sep,2240000,1740000,1041000,2682000
21-Oct,2075000,1852000,1021000,2327000
21-Nov,1985000,1708000,906000,2156000
21-Dec,1989000,1593000,799000,1989000
22-Jan,2428000,1619000,819000,1683000
22-Feb,2142000,1803000,726000,1691000
22-Mar,2303000,1688000,552000,1429000
22-Apr,2242000,1630000,526000,1474000
22-May,2052000,1771000,687000,1349000
22-Jun,2259000,1576000,777000,1337000
22-Jul,2086000,1769000,734000,1093000
22-Aug,2227000,1797000,887000,1165000
22-Sep,2158000,1643000,901000,1089000
22-Oct,2215000,1774000,817000,1169000
22-Nov,2244000,1694000,821000,1215000
22-Dec,2233000,1639000,826000,1069000
23-Jan,1946000,1785000,890000,1111000
23-Feb,2289000,1845000,805000,1057000
