Occupation Title,"Employment Change, 2021-2031","Employment Percent Change, 2021-2031",Median Annual Wage 2021,Typical Entry-Level Education
Home health and personal care aides,924.0,25.4,"29,430",High school diploma or equivalent
"Cooks, restaurant    * Banquet Cook* Breakfast Cook* Chef De Partie* Line Cook* Saucier* Specialty Cook",459.9,36.6,"30,010",No formal educational credential
Software developers,370.6,26.0,"120,730",Bachelor's degree
Fast food and counter workers,243.2,7.6,"25,100",No formal educational credential
General and operations managers    * Department Store General Manager* General Manager* General Superintendent* Manufacturing Operations Manager* Operations Manager* Radio Station Manager* Television Station Manager,209.8,6.7,"97,970",Bachelor's degree
Waiters and waitresses    * Cocktail Server* Cocktail Waitress* Dining Car Server* Restaurant Server* Wine Steward,197.0,10.3,"26,000",No formal educational credential
Registered nurses    * CCU Nurse* CNS* Clinical Nurse Specialist* Community Health Nurse* Coronary Care Unit Nurse* Emergency Room RN* Endoscopy Registered Nurse* Hospice Registered Nurse* Obstetrical Nurse* Oncology Registered Nurse* PACU Nurse* Pediatric Registered Nurse* Post-Anesthesia Care Unit Nurse* Psychiatric Nurse* RN* Registered Nurse* Triage Registered Nurse,195.4,6.2,"77,600",Bachelor's degree
"Laborers and freight, stock, and material movers, hand    * Cargo Handler* Cart Pusher* Freight Handler* Grave Digger* Manufacturing Laborer* Material Handler* Package Handler* Shipping and Receiving Material Handler* Stock Mover* Van Loader* Wharf Laborer",168.4,6.0,"31,230",No formal educational credential
Stockers and order fillers,157.9,6.4,"30,110",High school diploma or equivalent
Market research analysts and marketing specialists    * Market Research Analyst* Market Research Specialist* Marketing Analyst* Marketing Consultant* Marketing Forecaster* Marketing Specialist,150.3,19.0,"63,920",Bachelor's degree
