,,,,,,,,,,,,,,,,
,Interest Rates selected indicators,,,,,,,,,,,,,,,
,United States,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Source: International Financial Statistics (IFS),,,,,,,,,,,,,,,
,Metadata by Country (IFS),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Indicator,,,Scale,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,Central Bank Policy Rate,Percent per Annum,FPOLM_PA,Units,0.13,0.13,0.13,0.13,0.13,0.38,0.63,1.38,2.38,1.63,0.13,0.13
,Discount Rate,Percent per Annum,FID_PA,Units,0.75,0.75,0.75,0.75,0.75,1.00,1.25,2.00,3.00,2.25,0.25,...
,Money Market Rate,Percent per Annum,FIMM_PA,Units,0.18,0.10,0.14,0.11,0.09,0.13,0.40,1.00,1.83,2.16,0.38,0.08
,Treasury Bill Rate,Percent per Annum,FITB_PA,Units,0.13,0.06,0.09,0.06,0.04,0.05,0.32,0.93,1.94,2.07,0.38,0.04
,Lending Rate,Percent per Annum,FILR_PA,Units,3.25,3.25,3.25,3.25,3.25,3.26,3.51,4.10,4.90,5.28,3.54,3.25
,Government Bonds,Percent per Annum,FIGB_PA,Units,3.21,2.79,1.80,2.35,2.54,2.14,1.84,2.33,2.91,2.14,0.89,1.40
